symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
CRAFTSMAN,2025-03-05 14:54:00+05:30,2025-03-05 14:56:00+05:30,4795.5,4819.477499999999,22,105501.0,-527.5049999999792,52.7505,-580.2554999999792,SL
ITCHOTELS,2025-03-05 14:55:00+05:30,2025-03-05 15:02:00+05:30,174.37,175.24185,622,108458.14,-542.2906999999968,54.22907,-596.5197699999968,SL
BHARTIHEXA,2025-03-05 14:58:00+05:30,2025-03-05 14:58:00+05:30,1418.5,1425.5924999999997,76,107806.0,-539.0299999999806,53.903,-592.9329999999807,SL
GRANULES,2025-03-05 15:01:00+05:30,2025-03-05 15:13:00+05:30,483.55,485.96774999999997,224,108315.2,-541.5759999999899,54.1576,-595.7335999999899,SL
ADANIENSOL,2025-03-05 15:07:00+05:30,2025-03-05 15:07:00+05:30,721.0,724.6049999999999,150,108150.0,-540.7499999999857,54.075,-594.8249999999857,SL
GRANULES,2025-03-05 15:16:00+05:30,2025-03-05 15:29:00+05:30,484.45,485.95,223,108032.34999999999,-334.5,54.016175,-388.516175,EOD
LLOYDSME,2025-03-05 15:28:00+05:30,2025-03-05 15:29:00+05:30,1035.0,1033.95,104,107640.0,109.19999999999527,53.82,55.37999999999527,EOD
GRANULES,2025-03-06 09:15:00+05:30,2025-03-06 09:15:00+05:30,486.85,489.28425,222,108080.70000000001,-540.4034999999918,54.040350000000004,-594.4438499999918,SL
KPIL,2025-03-06 09:52:00+05:30,2025-03-06 09:59:00+05:30,911.5,925.1724999999999,118,107557.0,1613.3549999999884,53.7785,1559.5764999999885,TP
KPIL,2025-03-06 11:51:00+05:30,2025-03-06 12:02:00+05:30,896.85,892.36575,120,107622.0,-538.109999999997,53.811,-591.920999999997,SL
CASTROLIND,2025-03-06 12:29:00+05:30,2025-03-06 12:33:00+05:30,236.87,233.31695,456,108012.72,1620.190800000006,54.00636,1566.184440000006,TP
VIJAYA,2025-03-06 13:41:00+05:30,2025-03-06 13:54:00+05:30,1100.9,1084.3865,98,107888.20000000001,1618.3230000000021,53.944100000000006,1564.3789000000022,TP
SAPPHIRE,2025-03-06 14:09:00+05:30,2025-03-06 14:39:00+05:30,324.5,329.36749999999995,334,108383.0,1625.7449999999833,54.1915,1571.5534999999834,TP
GPIL,2025-03-06 14:20:00+05:30,2025-03-06 14:34:00+05:30,182.81,183.72404999999998,593,108406.33,-542.031649999985,54.203165,-596.234814999985,SL
GPIL,2025-03-06 14:36:00+05:30,2025-03-06 14:37:00+05:30,185.25,186.17624999999998,585,108371.25,-541.8562499999894,54.185625,-596.0418749999893,SL
GPIL,2025-03-06 14:40:00+05:30,2025-03-06 14:40:00+05:30,186.0,186.92999999999998,583,108438.0,-542.1899999999874,54.219,-596.4089999999875,SL
LLOYDSME,2025-03-06 14:40:00+05:30,2025-03-06 14:47:00+05:30,1111.4,1116.9569999999999,97,107805.8,-539.0289999999795,53.9029,-592.9318999999796,SL
LLOYDSME,2025-03-06 14:48:00+05:30,2025-03-06 14:54:00+05:30,1118.75,1101.96875,96,107400.0,1611.0,53.7,1557.3,TP
GPIL,2025-03-06 14:49:00+05:30,2025-03-06 14:50:00+05:30,187.77,184.95345,577,108343.29000000001,1625.1493500000038,54.171645000000005,1570.9777050000039,TP
