symbol,n,total_pnl,avg_pnl,win_rate
AAVAS,7,3.7591614717027424,0.5370230673861061,71.42857142857143
CREDITACC,31,3.7242121745939634,0.12013587659980526,32.25806451612903
GABRIEL,26,3.698271479410442,0.14224121074655546,34.61538461538461
FIRSTCRY,41,3.6656450264697837,0.08940597625536058,29.268292682926827
URBANCO,10,3.6445768486844763,0.36445768486844765,50.0
NIACL,22,3.5598802395210543,0.16181273816004793,36.36363636363637
BAJAJHFL,12,3.5587404909419154,0.29656170757849293,41.66666666666667
GROWW,35,3.517117660410163,0.10048907601171894,31.428571428571427
DEVYANI,13,3.500000000000079,0.2692307692307753,38.46153846153847
SUMICHEM,9,3.5000000000000693,0.3888888888888966,44.44444444444444
TRENT,5,3.499999999999965,0.699999999999993,60.0
ABB,9,3.4999999999999463,0.3888888888888829,44.44444444444444
CAMS,4,3.361530777874886,0.8403826944687215,75.0
BALKRISIND,9,3.357493152697927,0.3730547947442141,55.55555555555556
PFIZER,9,3.3500276819556634,0.3722252979950737,44.44444444444444
SUZLON,17,3.2481619185832833,0.19106834815195783,35.294117647058826
PHOENIXLTD,11,3.242246408952936,0.29474967354117604,45.45454545454545
VTL,16,3.081201550387634,0.19257509689922714,37.5
SWANCORP,47,3.044667398570491,0.06478015741639342,31.914893617021278
WHIRLPOOL,8,3.033823400717603,0.3792279250897004,50.0
MINDACORP,14,3.000000000000055,0.21428571428571822,35.714285714285715
BRIGADE,14,3.0000000000000275,0.21428571428571624,35.714285714285715
STARHEALTH,6,3.000000000000025,0.5000000000000041,50.0
ERIS,18,3.000000000000024,0.166666666666668,33.33333333333333
CESC,2,3.000000000000016,1.500000000000008,100.0
INDUSINDBK,18,3.000000000000014,0.16666666666666746,33.33333333333333
SBICARD,2,3.000000000000008,1.500000000000004,100.0
DALBHARAT,2,3.0000000000000018,1.5000000000000009,100.0
HYUNDAI,6,2.9999999999999973,0.49999999999999956,50.0
GMRAIRPORT,2,2.9999999999999902,1.4999999999999951,100.0
PFC,2,2.9999999999999876,1.4999999999999938,100.0
CANBK,2,2.999999999999985,1.4999999999999925,100.0
INDHOTEL,2,2.999999999999984,1.499999999999992,100.0
NHPC,2,2.9999999999999813,1.4999999999999907,100.0
ACMESOLAR,24,2.9689942678478016,0.1237080944936584,33.33333333333333
EMCURE,19,2.891143290342561,0.15216543633381902,36.84210526315789
PARADEEP,26,2.879857107939469,0.1107637349207488,38.46153846153847
HSCL,19,2.8308017776883228,0.14898956724675383,42.10526315789473
SYRMA,41,2.8240020944242623,0.06887809986400639,31.70731707317073
SARDAEN,17,2.783182192910145,0.1637165995829497,35.294117647058826
YESBANK,4,2.7562805919984217,0.6890701479996054,75.0
ZENSARTECH,12,2.743190661478668,0.228599221789889,41.66666666666667
CPPLUS,29,2.57155228404428,0.08867421669118207,31.03448275862069
GMDCLTD,45,2.5128387658926106,0.05584086146428024,28.888888888888886
KPRMILL,27,2.500000000000154,0.0925925925925983,29.629629629629626
ACUTAAS,47,2.5000000000000737,0.053191489361703696,27.659574468085108
USHAMART,11,2.5000000000000284,0.22727272727272985,36.36363636363637
IRB,11,2.500000000000022,0.2272727272727293,36.36363636363637
BAYERCROP,3,2.500000000000014,0.833333333333338,66.66666666666666
BAJAJHLDNG,3,2.500000000000008,0.833333333333336,66.66666666666666
3MINDIA,3,2.5000000000000075,0.8333333333333358,66.66666666666666
MRF,3,2.500000000000004,0.8333333333333347,66.66666666666666
PAGEIND,3,2.5000000000000018,0.8333333333333339,66.66666666666666
CHENNPETRO,41,2.4325967496786163,0.05933162804094186,29.268292682926827
